Project,subID,ExpID,CoderID,Page Number,Question Number,Qtype,Concept,Concept-super,Question_ID,Question,Question-Notes,Answer (0 /1),Explanation,Needed Clarification/Repetition,Include? ,Exp Error?,Notes,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-021,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_12.4,How did you know? (She can see it),#REF!,1,cause she said she wanted her dad to pack the big cookie in her brown paper bag so she's also kind of pointing to it,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-021,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_13.1,Which picture should April draw? (orange slice),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-021,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_13.2,Why should she draw the slice? (doesn't look like apple),#REF!,1,the teacher might think she drew an apple instead of an orange,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-021,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_14.1,How will Bill feel? (Sad),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-021,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_14.2,Why (does Bill feel sad/happy)? (Remembers the puppy stole his snack),#REF!,1,he is worried that if he eats outside the puppy will steal his snack again,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-021,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_14.3,Will Bill sit near or far from the puppy? (Far),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-021,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_14.4,Why (will Bill sit far/near)? (Remembers the puppy stole his snack),#REF!,1,if bill sits near puppy then same thing will repeat over and over again,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-021,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Cont_15.1,Where is Jenni's snack? (on the desk),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-021,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_15.2,Where will Jenni look for her snack? (on the desk),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-021,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_15.3,"Why does Jenni look on the desk? (she heard the announcment, knew)",#REF!,1,Mr. Cook announced that he announced that the snacks are on his desk and she was paying attention,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-021,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Cont_16.1,Where is Melanie's cookie? (in her tummy),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-021,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Cont_16.2,Did Melanie know that was Mitch's cookie? (Yes),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-021,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_16.3,Why did Melanie eat Mitch's cookie? (Mean),#REF!,1,Melanie must have been really hungry,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-021,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_16.4,Why is Mitch crying? (Doesn't have cookie),#REF!,1,he doesn't see his cookie anymore,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-021,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_16.5,Is Melanie being mean/naughty for taking Mitch's cookie? (Yes),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-021,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_16.6,Why/why not (mean/naughty)? (She knew),#REF!,1,she stole someone's cookie and Mitch really wanted that cookie to eat,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-021,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_16.7,Should Melanie get in trouble? (Yes),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-021,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_16.8,Why/why not (trouble)? (She knew),#REF!,1,not right to eat someone's snack,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-021,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_16.9,Now Mitch has a cookie. Should Melanie still get in trouble? (Yes),#REF!,0,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-021,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_16.91,Why/why not (still trouble)? (She knew),#REF!,0,he still gets to have another cookie,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-021,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_17.1,Is Brian lying? (Yes),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-021,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Cont_17.2,"Is there a cookie left, that hasn't been eaten (1)? (Yes)",#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-021,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_17.3,Is Mr. Cook lying? (No),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-021,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_17.4,Why Not? (Because he doesn't know),#REF!,1,Brian was lying to Mr. Cook so now Mr. Cook is telling the truth because he's telling what Brian told him,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-021,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Cont_17.5,"Is there a cookie left, that hasn't been eaten (2)? (Yes)",#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-021,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_17.6,How does Megan feel- sad or fine? (Sad),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-021,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_17.7,"There's a cookie left, why does Megan feel sad? (she doesn't know)",#REF!,1,everyone got a cookie and now she doesn't have a chance to get a cookie,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-021,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_17.8,Was Brian lying? (Yes),#REF!,0,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-021,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_17.9,Why?,#REF!,0,now all the cookies are finished but before he was hiding the cookie but after he was done eating a cookie but then he wasn't telling a lie,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-021,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_18.1,What does dad think Emma wants for snacktime? (string cheese),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-021,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_18.2,Why does dad say that? (Thinks Emma wants string cheese),#REF!,0,because the string cheese is finished so he kept some yogurt for emma but emma looks disappointed,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-021,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Cont_18.3,What snack does Emma want today? (yogurt),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-021,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Cont_18.4,What snack did Dad pack for Emma today? (yogurt),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-021,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_18.5,Why is Emma surprised? (thought dad packed string cheese),#REF!,1,because she wanted yogurt but he said they didn't have any of the snack she wanted,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-021,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_19.1,Why does Leslie say that? (sarcasm),#REF!,1,"she has a sad face, being sarcastic",0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-021,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_19.2,Is Leslie happy or sad? (sad),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-022,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_1.1,Which one will Henry choose? (Chooses Same),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-022,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_2.1,Which one will Kari choose? (Chooses Opposite),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-022,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_3.1,Where will Joe look? (Chooses Opposite),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-022,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_4.1,Which snack? (one she's looking at),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-022,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_4.2,How'd you know that snack? (looking at it),#REF!,0,because if she wants to get the one over here she has to walk really far but for this one here she can just walk one step,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-022,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_5.1,Where will Diana look? (Drawer),#REF!,0,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-022,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_5.2,"Why does she look in the drawer? (Thinks it's there, where she put it)",#REF!,1,because she put it there,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-022,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Cont_5.3,Where is her snack?,#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-022,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Cont_6.1,Gives Sean pear?,#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-022,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_7.1,Where will Allie look? (top of shelf),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-022,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_7.2,"Why will she look on top of shelf? (thinks it's hers, looks like hers)",#REF!,1,she thinks it's hers,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-022,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_7.3,Why does Sue feel sad? (Allie is taking her snack),#REF!,1,because she thinks it's hers but it's actually Sue's,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-022,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_7.4,Is Allie being mean/naughty? (No),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-022,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_7.5,"Why/why not (mean/naughty)? (She didn't know, she thought it was hers, accident)",#REF!,1,she just doesn't know,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-022,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_7.6,Should Allie get in trouble (No),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-022,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_7.7,"Why/why not (trouble)? (She didn't know, she thought it was hers, accident)",#REF!,1,she might say but my bag was up there first and I thought it was mine,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-022,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Cont_8.1,What snack did Dad pack for Luke to have? (Chips),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-022,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_8.2,What does Luke think is inside the bag- crackers or chips? (Crackers),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-022,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_8.3,Why does he think that? (Expectations),#REF!,1,because he always has it,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-022,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Cont_9.1,Gives Sarah fruit snacks?,#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-022,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_10.1,Which snack will mom pack? (Carrots),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-022,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_10.2,"Why will mom pack carrots? (Near ""glasses"")",#REF!,1,because he said he wants the one near the glasses but maybe he was expecting those,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-022,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_10.3,Which snack does Josh want- celery or carrots? (celery),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-022,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Cont_10.4,"How did you know? (He tried it earlier, he likes celery)",#REF!,1,because he just tried it for the first time,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-022,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Cont_11.1,Why did Charlie say that? (Got what he asked for),#REF!,1,because he likes the popcorn and it's salty,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-022,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_11.2,Is Charlie happy or sad? (Happy),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-022,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_12.1,Which cookie will dad pack? (medium cookie),#REF!,0,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-022,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_12.2,Why does dad pack that cookie? (It's the biggest he can see),#REF!,0,maybe he forgot she wanted the big one,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-022,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_12.3,Which cookie does Marie want? (big cookie),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-022,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_12.4,How did you know? (She can see it),#REF!,0,because she told him she wanted that one,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-022,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_13.1,Which picture should April draw? (orange slice),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-022,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_13.2,Why should she draw the slice? (doesn't look like apple),#REF!,1,the apple looks the same as that one,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-022,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_14.1,How will Bill feel? (Sad),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-022,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_14.2,Why (does Bill feel sad/happy)? (Remembers the puppy stole his snack),#REF!,1,the puppy took his snack,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-022,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_14.3,Will Bill sit near or far from the puppy? (Far),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-022,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_14.4,Why (will Bill sit far/near)? (Remembers the puppy stole his snack),#REF!,1,he doesn't want him to take his other snack,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-022,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Cont_15.1,Where is Jenni's snack? (on the desk),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-022,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_15.2,Where will Jenni look for her snack? (on the desk),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-022,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_15.3,"Why does Jenni look on the desk? (she heard the announcment, knew)",#REF!,1,because the teacher made an announcement,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-022,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Cont_16.1,Where is Melanie's cookie? (in her tummy),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-022,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Cont_16.2,Did Melanie know that was Mitch's cookie? (Yes),#REF!,0,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-022,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_16.3,Why did Melanie eat Mitch's cookie? (Mean),#REF!,0,because she wants her snack,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-022,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_16.4,Why is Mitch crying? (Doesn't have cookie),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-022,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_16.5,Is Melanie being mean/naughty for taking Mitch's cookie? (Yes),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-022,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_16.6,Why/why not (mean/naughty)? (She knew),#REF!,1,she did it on purpose,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-022,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_16.7,Should Melanie get in trouble? (Yes),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-022,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_16.8,Why/why not (trouble)? (She knew),#REF!,1,because it was on purpose and it wasn't very nice,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-022,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_16.9,Now Mitch has a cookie. Should Melanie still get in trouble? (Yes),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-022,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_16.91,Why/why not (still trouble)? (She knew),#REF!,1,because she took the cookie,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-022,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_17.1,Is Brian lying? (Yes),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-022,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Cont_17.2,"Is there a cookie left, that hasn't been eaten (1)? (Yes)",#REF!,0,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-022,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_17.3,Is Mr. Cook lying? (No),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-022,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_17.4,Why Not? (Because he doesn't know),#REF!,1,Mr. cook thinks there aren't any cookies because brian said so,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-022,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Cont_17.5,"Is there a cookie left, that hasn't been eaten (2)? (Yes)",#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-022,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_17.6,How does Megan feel- sad or fine? (Sad),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-022,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_17.7,"There's a cookie left, why does Megan feel sad? (she doesn't know)",#REF!,1,because right now she thinks that every cookie is eaten,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-022,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_17.8,Was Brian lying? (Yes),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-022,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_17.9,Why?,#REF!,1,because he hid the cookie and then he said no,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-022,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_18.1,What does dad think Emma wants for snacktime? (string cheese),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-022,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_18.2,Why does dad say that? (Thinks Emma wants string cheese),#REF!,0,when he said that they were all out he meant that they were all out of string cheese so emma thought he meant yogurt,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-022,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Cont_18.3,What snack does Emma want today? (yogurt),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-022,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Cont_18.4,What snack did Dad pack for Emma today? (yogurt),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-022,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_18.5,Why is Emma surprised? (thought dad packed string cheese),#REF!,0,because she likes yay there's yogurt,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-022,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_19.1,Why does Leslie say that? (sarcasm),#REF!,1,"because she was like I wasn't expecting that I was expecting something sweet. She was like ugh, carrots? I wanted something sweet not something healthy.",0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-022,E11,C6,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_19.2,Is Leslie happy or sad? (sad),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-023,E11,C5,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_1.1,Which one will Henry choose? (Chooses Same),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-023,E9,C3,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_2.1,Which one will Kari choose? (Chooses Opposite),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-023,E9,C3,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_3.1,Where will Joe look? (Chooses Opposite),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-023,E9,C3,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_4.1,Which snack? (one she's looking at),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-023,E9,C3,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_4.2,How'd you know that snack? (looking at it),#REF!,1,She's looking at it,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-023,E9,C3,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_5.1,Where will Diana look? (Drawer),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-023,E9,C3,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_5.2,"Why does she look in the drawer? (Thinks it's there, where she put it)",#REF!,1,She didn't see that she took it,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-023,E9,C3,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Cont_5.3,Where is her snack?,#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-023,E9,C3,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Cont_6.1,Gives Sean pear?,#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-023,E9,C3,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_7.1,Where will Allie look? (top of shelf),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-023,E9,C3,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_7.2,"Why will she look on top of shelf? (thinks it's hers, looks like hers)",#REF!,1,She thought that was hers,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
