Project,subID,ExpID,CoderID,Book,Page Number,Question Number,Qtype,Concept,Concept-super,Question_ID,Question,Answer (0 /1),Explanation,Needed Clarification/Repetition,Include? ,Exp Error?,Notes
512yoC,Booklet1-052,E12,C1,1_Books,5,5,Explanation,Reference - Easy,Reference,ToMB1_EXPL_05,How'd you know that book? (looking at it),1,,NA,1,0,
512yoC,Booklet1-052,E12,C1,1_Books,6,6,2AFC,False Belief - Location,Belief,ToMB1_2AFC_06,Where will M look? (chair),1,,NA,1,0,
512yoC,Booklet1-052,E12,C1,1_Books,6,7,Explanation,False Belief - Location,Belief,ToMB1_EXPL_07,"Why does she look behind the chair? (Thinks it's there, left it there)",1,,NA,1,0,
512yoC,Booklet1-052,E12,C1,1_Books,8,9,2AFC,False Belief - Location,Belief,ToMB1_2AFC_09,Where will Ethan look? (above coats),1,,NA,1,0,
512yoC,Booklet1-052,E12,C1,1_Books,8,10,Explanation,False Belief - Location,Belief,ToMB1_EXPL_10,"Why is Ethan reaching for the book on the shelf? (thinks it's his, left it there, doesn't know)",1,,NA,1,0,
512yoC,Booklet1-052,E12,C1,1_Books,8,11,Explanation,Emotion,Emotion,ToMB1_EXPL_11,Why does Paul feel sad?  (Ethan taking his book),1,,NA,1,0,
512yoC,Booklet1-052,E12,C1,1_Books,8,12,2AFC,Moral Reasoning False Beliefs,Moral Reasoning,ToMB1_2AFC_12,Is Ethan being mean/naughty? (No),1,,NA,1,0,
512yoC,Booklet1-052,E12,C1,1_Books,8,13,2AFC,Moral Reasoning False Beliefs,Moral Reasoning,ToMB1_2AFC_13,Should Ethan get in trouble? (No),1,,NA,1,0,
512yoC,Booklet1-052,E12,C1,1_Books,9,14,2AFC,False Belief - Expectations,Belief,ToMB1_2AFC_14,What does W think is inside the book? (Mountains),1,,NA,1,0,
512yoC,Booklet1-052,E12,C1,1_Books,9,15,Explanation,False Belief - Expectations,Belief,ToMB1_EXPL_15,Why does he think that? (Refers to past or expectations).,1,,NA,1,0,
512yoC,Booklet1-052,E12,C1,1_Books,11,17,2AFC,Reference - Hard,Reference,ToMB1_2AFC_17,Which book does Daniel want? (Fruit),0,,NA,1,0,
512yoC,Booklet1-052,E12,C1,1_Books,11,18,Explanation,Reference - Hard,Reference,ToMB1_EXPL_18,How do you know that book? (Refers to orange section/liking that part/reading it before),0,,NA,1,0,
512yoC,Booklet1-052,E12,C1,1_Books,12,19,2AFC,Reference - Hard,Reference,ToMB1_2AFC_19,Which picture should C give? (Broom),1,,NA,1,0,
512yoC,Booklet1-052,E12,C1,1_Books,12,20,Explanation,Reference - Hard,Reference,ToMB1_EXPL_20,Why is the broom better? (mentions sailboat),1,,NA,1,0,
512yoC,Booklet1-052,E12,C1,2_Park,15,21,2AFC,Common Desires,Desires,ToMB2_2AFC_21,Which one will J choose? (Chooses same),1,,NA,1,0,
512yoC,Booklet1-052,E12,C1,2_Park,16,22,2AFC,Diverse Desires,Desires,ToMB2_2AFC_22,Which one will I choose? (Chooses opposite),1,,NA,1,0,
512yoC,Booklet1-052,E12,C1,2_Park,17,23,2AFC,False Belief - Location,Belief,ToMB2_2AFC_23,Where will J look first? (Bush),1,,NA,1,0,
512yoC,Booklet1-052,E12,C1,2_Park,17,24,Explanation,False Belief - Location,Belief,ToMB2_EXPL_24,Why behind bush? (Refers to peeking/seeing/thinking),1,,NA,1,0,
512yoC,Booklet1-052,E12,C1,2_Park,18,25,2AFC,False Belief - Location,Belief,ToMB2_2AFC_25,Which cookie will J take? (one on grass),1,,NA,1,0,
512yoC,Booklet1-052,E12,C1,2_Park,18,26,Explanation,False Belief - Location,Belief,ToMB2_EXPL_26,"Why that cookie? (thinks it's his, left it there, doesn't know)",NA,,NA,0,1,Not asked
512yoC,Booklet1-052,E12,C1,2_Park,18,27,Explanation,Emotion,Emotion,ToMB2_EXPL_27,Why is Isa crying? (J taking her cookie),1,,NA,1,0,
512yoC,Booklet1-052,E12,C1,2_Park,18,28,2AFC,Moral Reasoning False Beliefs,Moral Reasoning,ToMB2_2AFC_28,Is J being mean/naughty? (No),1,,NA,1,0,
512yoC,Booklet1-052,E12,C1,2_Park,18,29,2AFC,Moral Reasoning False Beliefs,Moral Reasoning,ToMB2_2AFC_29,Should J get in trouble? (No),1,,NA,1,0,
512yoC,Booklet1-052,E12,C1,2_Park,19,30,2AFC,Emotion Reminder,Emotion,ToMB2_2AFC_30,How will Ivan feel? (Sad),1,,NA,1,0,
512yoC,Booklet1-052,E12,C1,2_Park,19,31,2AFC,Emotion Reminder,Emotion,ToMB2_2AFC_31,Will Ivan go near or far from puppy? (Far),1,,NA,1,0,
512yoC,Booklet1-052,E12,C1,2_Park,19,32,Explanation,Emotion Reminder,Emotion,ToMB2_EXPL_32,"Why far away? (think, remember, worry, doesn't want)",1,"""since he stole his cookie he's not his friend""",NA,1,0,
512yoC,Booklet1-052,E12,C1,2_Park,20,33,2AFC,False Belief - Expectations,Belief,ToMB2_2AFC_33,What does Isa think is in bottle? (Milk),1,,NA,1,0,
512yoC,Booklet1-052,E12,C1,2_Park,20,34,2AFC,Emotion,Emotion,ToMB2_2AFC_34,"How will Isa feel? (Sad, or surprised)",1,,NA,1,0,
512yoC,Booklet1-052,E12,C1,2_Park,22,35,2AFC,Reference - Hard,Reference,ToMB2_2AFC_35,Where will I & Isa look? (Behind tree),1,,NA,1,0,
512yoC,Booklet1-052,E12,C1,2_Park,22,36,Explanation,Reference - Hard,Reference,ToMB2_EXPL_36,"Why behind tree? (Drawing looks like tree, thought)",1,,NA,1,0,asked before the prediction question
512yoC,Booklet1-052,E12,C1,2_Park,23,37,2AFC,Moral Reasoning False Beliefs,Moral Reasoning,ToMB2_2AFC_37,Is it fair that mother is mad with J? (No),NA,,NA,0,1,"E asked ""is mom mad at joshua?"""
512yoC,Booklet1-052,E12,C1,2_Park,23,38,2AFC,Moral Reasoning False Beliefs,Moral Reasoning,ToMB2_2AFC_38,Is J mad at Isa? (No),1,,NA,1,0,
512yoC,Booklet1-052,E12,C1,2_Park,23,39,Explanation,Moral Reasoning False Beliefs,Moral Reasoning,ToMB2_EXPL_39,Why J not mad? (Doesn't know),1,,NA,1,0,
512yoC,Booklet1-052,E12,C1,2_Park,23,40,2AFC,Moral Reasoning False Beliefs,Moral Reasoning,ToMB2_2AFC_40,Is mother mad at Isa? (No),1,,NA,1,0,
512yoC,Booklet1-052,E12,C1,2_Park,23,41,Explanation,Moral Reasoning False Beliefs,Moral Reasoning,ToMB2_EXPL_41,Why mother not mad? (Doesn't know),1,,NA,1,0,
512yoC,Booklet1-053,E12,C1,1_Books,2,1,2AFC,Common Desires,Desires,ToMB1_2AFC_01,Which one will Sam choose? (Chooses Same),1,,NA,1,0,
512yoC,Booklet1-053,E12,C1,1_Books,3,2,2AFC,Diverse Desires,Desires,ToMB1_2AFC_02,Which one will L choose? (Chooses Opposite),1,,NA,1,0,
512yoC,Booklet1-053,E12,C1,1_Books,4,3,2AFC,Diverse Beliefs,Belief,ToMB1_2AFC_03,Where will J look? (Chooses Opposite),1,,NA,1,0,
512yoC,Booklet1-053,E12,C1,1_Books,5,4,2AFC,Reference - Easy,Reference,ToMB1_2AFC_04,Which book? (one he's looking at),0,,NA,1,0,
512yoC,Booklet1-053,E12,C1,1_Books,5,5,Explanation,Reference - Easy,Reference,ToMB1_EXPL_05,How'd you know that book? (looking at it),0,"""if he wants one about airplanes, he probably wants one that's not too history-like""",NA,1,0,
512yoC,Booklet1-053,E12,C1,1_Books,6,6,2AFC,False Belief - Location,Belief,ToMB1_2AFC_06,Where will M look? (chair),1,,NA,1,0,
512yoC,Booklet1-053,E12,C1,1_Books,6,7,Explanation,False Belief - Location,Belief,ToMB1_EXPL_07,"Why does she look behind the chair? (Thinks it's there, left it there)",1,,NA,1,0,
512yoC,Booklet1-053,E12,C1,1_Books,8,9,2AFC,False Belief - Location,Belief,ToMB1_2AFC_09,Where will Ethan look? (above coats),1,,NA,1,0,
512yoC,Booklet1-053,E12,C1,1_Books,8,10,Explanation,False Belief - Location,Belief,ToMB1_EXPL_10,"Why is Ethan reaching for the book on the shelf? (thinks it's his, left it there, doesn't know)",1,"""it's blue and he put his book there""",NA,1,0,
512yoC,Booklet1-053,E12,C1,1_Books,8,11,Explanation,Emotion,Emotion,ToMB1_EXPL_11,Why does Paul feel sad?  (Ethan taking his book),1,,NA,1,0,
512yoC,Booklet1-053,E12,C1,1_Books,8,12,2AFC,Moral Reasoning False Beliefs,Moral Reasoning,ToMB1_2AFC_12,Is Ethan being mean/naughty? (No),1,,NA,1,0,
512yoC,Booklet1-053,E12,C1,1_Books,8,13,2AFC,Moral Reasoning False Beliefs,Moral Reasoning,ToMB1_2AFC_13,Should Ethan get in trouble? (No),1,,NA,1,0,
512yoC,Booklet1-053,E12,C1,1_Books,9,14,2AFC,False Belief - Expectations,Belief,ToMB1_2AFC_14,What does W think is inside the book? (Mountains),1,,NA,1,0,
512yoC,Booklet1-053,E12,C1,1_Books,9,15,Explanation,False Belief - Expectations,Belief,ToMB1_EXPL_15,Why does he think that? (Refers to past or expectations).,1,"""he didn't see him put the book down there""",NA,1,0,
512yoC,Booklet1-053,E12,C1,1_Books,11,17,2AFC,Reference - Hard,Reference,ToMB1_2AFC_17,Which book does Daniel want? (Fruit),1,,NA,1,0,
512yoC,Booklet1-053,E12,C1,1_Books,11,18,Explanation,Reference - Hard,Reference,ToMB1_EXPL_18,How do you know that book? (Refers to orange section/liking that part/reading it before),1,,NA,1,0,
512yoC,Booklet1-053,E12,C1,1_Books,12,19,2AFC,Reference - Hard,Reference,ToMB1_2AFC_19,Which picture should C give? (Broom),1,,NA,1,0,
512yoC,Booklet1-053,E12,C1,1_Books,12,20,Explanation,Reference - Hard,Reference,ToMB1_EXPL_20,Why is the broom better? (mentions sailboat),1,,NA,1,0,at first said that a witch's broom might be a book about cleaning
512yoC,Booklet1-053,E12,C1,2_Park,15,21,2AFC,Common Desires,Desires,ToMB2_2AFC_21,Which one will J choose? (Chooses same),1,,NA,1,0,
512yoC,Booklet1-053,E12,C1,2_Park,16,22,2AFC,Diverse Desires,Desires,ToMB2_2AFC_22,Which one will I choose? (Chooses opposite),1,,NA,1,0,
512yoC,Booklet1-053,E12,C1,2_Park,17,23,2AFC,False Belief - Location,Belief,ToMB2_2AFC_23,Where will J look first? (Bush),1,,NA,1,0,
512yoC,Booklet1-053,E12,C1,2_Park,17,24,Explanation,False Belief - Location,Belief,ToMB2_EXPL_24,Why behind bush? (Refers to peeking/seeing/thinking),1,,NA,1,0,
512yoC,Booklet1-053,E12,C1,2_Park,18,25,2AFC,False Belief - Location,Belief,ToMB2_2AFC_25,Which cookie will J take? (one on grass),1,,NA,1,0,
512yoC,Booklet1-053,E12,C1,2_Park,18,26,Explanation,False Belief - Location,Belief,ToMB2_EXPL_26,"Why that cookie? (thinks it's his, left it there, doesn't know)",1,,NA,1,0,
512yoC,Booklet1-053,E12,C1,2_Park,18,27,Explanation,Emotion,Emotion,ToMB2_EXPL_27,Why is Isa crying? (J taking her cookie),1,,NA,1,0,
512yoC,Booklet1-053,E12,C1,2_Park,18,28,2AFC,Moral Reasoning False Beliefs,Moral Reasoning,ToMB2_2AFC_28,Is J being mean/naughty? (No),1,,NA,1,0,
512yoC,Booklet1-053,E12,C1,2_Park,18,29,2AFC,Moral Reasoning False Beliefs,Moral Reasoning,ToMB2_2AFC_29,Should J get in trouble? (No),1,,NA,1,0,
512yoC,Booklet1-053,E12,C1,2_Park,19,30,2AFC,Emotion Reminder,Emotion,ToMB2_2AFC_30,How will Ivan feel? (Sad),1,,1,1,0,repeated story because child did not remember
512yoC,Booklet1-053,E12,C1,2_Park,19,31,2AFC,Emotion Reminder,Emotion,ToMB2_2AFC_31,Will Ivan go near or far from puppy? (Far),1,,NA,1,0,
512yoC,Booklet1-053,E12,C1,2_Park,19,32,Explanation,Emotion Reminder,Emotion,ToMB2_EXPL_32,"Why far away? (think, remember, worry, doesn't want)",1,,NA,1,0,
512yoC,Booklet1-053,E12,C1,2_Park,20,33,2AFC,False Belief - Expectations,Belief,ToMB2_2AFC_33,What does Isa think is in bottle? (Milk),1,,NA,1,0,
512yoC,Booklet1-053,E12,C1,2_Park,20,34,2AFC,Emotion,Emotion,ToMB2_2AFC_34,"How will Isa feel? (Sad, or surprised)",1,,NA,1,0,
512yoC,Booklet1-053,E12,C1,2_Park,22,35,2AFC,Reference - Hard,Reference,ToMB2_2AFC_35,Where will I & Isa look? (Behind tree),0,,NA,1,0,
512yoC,Booklet1-053,E12,C1,2_Park,22,36,Explanation,Reference - Hard,Reference,ToMB2_EXPL_36,"Why behind tree? (Drawing looks like tree, thought)",1,,NA,1,0,
512yoC,Booklet1-053,E12,C1,2_Park,23,37,2AFC,Moral Reasoning False Beliefs,Moral Reasoning,ToMB2_2AFC_37,Is it fair that mother is mad with J? (No),1,,NA,1,0,
512yoC,Booklet1-053,E12,C1,2_Park,23,38,2AFC,Moral Reasoning False Beliefs,Moral Reasoning,ToMB2_2AFC_38,Is J mad at Isa? (No),1,,NA,1,0,
512yoC,Booklet1-053,E12,C1,2_Park,23,39,Explanation,Moral Reasoning False Beliefs,Moral Reasoning,ToMB2_EXPL_39,Why J not mad? (Doesn't know),1,,NA,1,0,
512yoC,Booklet1-053,E12,C1,2_Park,23,40,2AFC,Moral Reasoning False Beliefs,Moral Reasoning,ToMB2_2AFC_40,Is mother mad at Isa? (No),1,,NA,1,0,
512yoC,Booklet1-053,E12,C1,2_Park,23,41,Explanation,Moral Reasoning False Beliefs,Moral Reasoning,ToMB2_EXPL_41,Why mother not mad? (Doesn't know),1,,NA,1,0,
512yoC,Booklet1-054,E7,C1,1_Books,2,1,2AFC,Common Desires,Desires,ToMB1_2AFC_01,Which one will Sam choose? (Chooses Same),1,,NA,1,0,
512yoC,Booklet1-054,E7,C1,1_Books,3,2,2AFC,Diverse Desires,Desires,ToMB1_2AFC_02,Which one will L choose? (Chooses Opposite),1,,NA,1,0,
512yoC,Booklet1-054,E7,C1,1_Books,4,3,2AFC,Diverse Beliefs,Belief,ToMB1_2AFC_03,Where will J look? (Chooses Opposite),0,,NA,1,0,
512yoC,Booklet1-054,E7,C1,1_Books,5,4,2AFC,Reference - Easy,Reference,ToMB1_2AFC_04,Which book? (one he's looking at),0,,NA,1,0,
512yoC,Booklet1-054,E7,C1,1_Books,5,5,Explanation,Reference - Easy,Reference,ToMB1_EXPL_05,How'd you know that book? (looking at it),0,"""he loves big planes""",NA,1,0,
512yoC,Booklet1-054,E7,C1,1_Books,6,6,2AFC,False Belief - Location,Belief,ToMB1_2AFC_06,Where will M look? (chair),0,,NA,1,0,
512yoC,Booklet1-054,E7,C1,1_Books,6,7,Explanation,False Belief - Location,Belief,ToMB1_EXPL_07,"Why does she look behind the chair? (Thinks it's there, left it there)",0,"""cause I don't know""",NA,1,0,
512yoC,Booklet1-054,E7,C1,1_Books,8,9,2AFC,False Belief - Location,Belief,ToMB1_2AFC_09,Where will Ethan look? (above coats),0,,NA,1,0,
512yoC,Booklet1-054,E7,C1,1_Books,8,10,Explanation,False Belief - Location,Belief,ToMB1_EXPL_10,"Why is Ethan reaching for the book on the shelf? (thinks it's his, left it there, doesn't know)",0,"""I don't know""",NA,1,0,
512yoC,Booklet1-054,E7,C1,1_Books,8,11,Explanation,Emotion,Emotion,ToMB1_EXPL_11,Why does Paul feel sad?  (Ethan taking his book),1,,NA,1,0,
512yoC,Booklet1-054,E7,C1,1_Books,8,12,2AFC,Moral Reasoning False Beliefs,Moral Reasoning,ToMB1_2AFC_12,Is Ethan being mean/naughty? (No),0,,NA,1,0,
512yoC,Booklet1-054,E7,C1,1_Books,8,13,2AFC,Moral Reasoning False Beliefs,Moral Reasoning,ToMB1_2AFC_13,Should Ethan get in trouble? (No),0,,NA,1,0,
512yoC,Booklet1-054,E7,C1,1_Books,9,14,2AFC,False Belief - Expectations,Belief,ToMB1_2AFC_14,What does W think is inside the book? (Mountains),0,,NA,1,0,
512yoC,Booklet1-054,E7,C1,1_Books,9,15,Explanation,False Belief - Expectations,Belief,ToMB1_EXPL_15,Why does he think that? (Refers to past or expectations).,0,"""he's so confused""",NA,1,0,
512yoC,Booklet1-054,E7,C1,1_Books,11,17,2AFC,Reference - Hard,Reference,ToMB1_2AFC_17,Which book does Daniel want? (Fruit),0,,NA,1,0,
512yoC,Booklet1-054,E7,C1,1_Books,11,18,Explanation,Reference - Hard,Reference,ToMB1_EXPL_18,How do you know that book? (Refers to orange section/liking that part/reading it before),0,"""on the shelf""",NA,1,0,
512yoC,Booklet1-054,E7,C1,1_Books,12,19,2AFC,Reference - Hard,Reference,ToMB1_2AFC_19,Which picture should C give? (Broom),1,,NA,1,0,
512yoC,Booklet1-054,E7,C1,1_Books,12,20,Explanation,Reference - Hard,Reference,ToMB1_EXPL_20,Why is the broom better? (mentions sailboat),0,"""I don't know""",NA,1,0,"gave a long answer, then said ""I don't know"""
512yoC,Booklet1-054,E7,C1,2_Park,15,21,2AFC,Common Desires,Desires,ToMB2_2AFC_21,Which one will J choose? (Chooses same),1,,NA,1,0,
512yoC,Booklet1-054,E7,C1,2_Park,16,22,2AFC,Diverse Desires,Desires,ToMB2_2AFC_22,Which one will I choose? (Chooses opposite),1,,NA,1,0,
512yoC,Booklet1-054,E7,C1,2_Park,17,23,2AFC,False Belief - Location,Belief,ToMB2_2AFC_23,Where will J look first? (Bush),0,,NA,1,0,
512yoC,Booklet1-054,E7,C1,2_Park,17,24,Explanation,False Belief - Location,Belief,ToMB2_EXPL_24,Why behind bush? (Refers to peeking/seeing/thinking),0,"""I don't know""",NA,1,0,
512yoC,Booklet1-054,E7,C1,2_Park,18,25,2AFC,False Belief - Location,Belief,ToMB2_2AFC_25,Which cookie will J take? (one on grass),0,,NA,1,0,
512yoC,Booklet1-054,E7,C1,2_Park,18,26,Explanation,False Belief - Location,Belief,ToMB2_EXPL_26,"Why that cookie? (thinks it's his, left it there, doesn't know)",0,"""I don't know""",NA,1,0,
512yoC,Booklet1-054,E7,C1,2_Park,18,27,Explanation,Emotion,Emotion,ToMB2_EXPL_27,Why is Isa crying? (J taking her cookie),1,,NA,1,0,
512yoC,Booklet1-054,E7,C1,2_Park,18,28,2AFC,Moral Reasoning False Beliefs,Moral Reasoning,ToMB2_2AFC_28,Is J being mean/naughty? (No),0,,NA,1,0,
512yoC,Booklet1-054,E7,C1,2_Park,18,29,2AFC,Moral Reasoning False Beliefs,Moral Reasoning,ToMB2_2AFC_29,Should J get in trouble? (No),0,,NA,1,0,
512yoC,Booklet1-054,E7,C1,2_Park,19,30,2AFC,Emotion Reminder,Emotion,ToMB2_2AFC_30,How will Ivan feel? (Sad),0,"""he loves catching cookies""",NA,1,0,
512yoC,Booklet1-054,E7,C1,2_Park,19,31,2AFC,Emotion Reminder,Emotion,ToMB2_2AFC_31,Will Ivan go near or far from puppy? (Far),0,,NA,1,0,
512yoC,Booklet1-054,E7,C1,2_Park,19,32,Explanation,Emotion Reminder,Emotion,ToMB2_EXPL_32,"Why far away? (think, remember, worry, doesn't want)",0,"""he's petting it""",NA,1,0,
512yoC,Booklet1-054,E7,C1,2_Park,20,33,2AFC,False Belief - Expectations,Belief,ToMB2_2AFC_33,What does Isa think is in bottle? (Milk),0,,NA,1,0,
512yoC,Booklet1-054,E7,C1,2_Park,20,34,2AFC,Emotion,Emotion,ToMB2_2AFC_34,"How will Isa feel? (Sad, or surprised)",0,,NA,1,0,
512yoC,Booklet1-054,E7,C1,2_Park,22,35,2AFC,Reference - Hard,Reference,ToMB2_2AFC_35,Where will I & Isa look? (Behind tree),1,,NA,1,0,
512yoC,Booklet1-054,E7,C1,2_Park,22,36,Explanation,Reference - Hard,Reference,ToMB2_EXPL_36,"Why behind tree? (Drawing looks like tree, thought)",0,"""they noticed""",NA,1,0,
512yoC,Booklet1-054,E7,C1,2_Park,23,37,2AFC,Moral Reasoning False Beliefs,Moral Reasoning,ToMB2_2AFC_37,Is it fair that mother is mad with J? (No),0,,NA,1,0,
512yoC,Booklet1-054,E7,C1,2_Park,23,38,2AFC,Moral Reasoning False Beliefs,Moral Reasoning,ToMB2_2AFC_38,Is J mad at Isa? (No),0,,NA,1,0,
512yoC,Booklet1-054,E7,C1,2_Park,23,39,Explanation,Moral Reasoning False Beliefs,Moral Reasoning,ToMB2_EXPL_39,Why J not mad? (Doesn't know),0,"""she buried it by mistake""",NA,1,0,
512yoC,Booklet1-054,E7,C1,2_Park,23,40,2AFC,Moral Reasoning False Beliefs,Moral Reasoning,ToMB2_2AFC_40,Is mother mad at Isa? (No),0,,NA,1,0,
512yoC,Booklet1-054,E7,C1,2_Park,23,41,Explanation,Moral Reasoning False Beliefs,Moral Reasoning,ToMB2_EXPL_41,Why mother not mad? (Doesn't know),0,"""please don't bury Joshua's truck again""",NA,1,0,
512yoC,Booklet1-055,E18,C1,1_Books,2,1,2AFC,Common Desires,Desires,ToMB1_2AFC_01,Which one will Sam choose? (Chooses Same),1,,NA,1,0,
512yoC,Booklet1-055,E18,C1,1_Books,3,2,2AFC,Diverse Desires,Desires,ToMB1_2AFC_02,Which one will L choose? (Chooses Opposite),1,,NA,1,0,
512yoC,Booklet1-055,E18,C1,1_Books,4,3,2AFC,Diverse Beliefs,Belief,ToMB1_2AFC_03,Where will J look? (Chooses Opposite),0,,NA,1,1,child saw that the book was under the table
512yoC,Booklet1-055,E18,C1,1_Books,5,4,2AFC,Reference - Easy,Reference,ToMB1_2AFC_04,Which book? (one he's looking at),1,,NA,1,0,
512yoC,Booklet1-055,E18,C1,1_Books,5,5,Explanation,Reference - Easy,Reference,ToMB1_EXPL_05,How'd you know that book? (looking at it),1,,NA,1,0,
512yoC,Booklet1-055,E18,C1,1_Books,6,6,2AFC,False Belief - Location,Belief,ToMB1_2AFC_06,Where will M look? (chair),1,,NA,1,0,
512yoC,Booklet1-055,E18,C1,1_Books,6,7,Explanation,False Belief - Location,Belief,ToMB1_EXPL_07,"Why does she look behind the chair? (Thinks it's there, left it there)",1,,NA,1,0,
512yoC,Booklet1-055,E18,C1,1_Books,8,9,2AFC,False Belief - Location,Belief,ToMB1_2AFC_09,Where will Ethan look? (above coats),1,,NA,1,0,
512yoC,Booklet1-055,E18,C1,1_Books,8,10,Explanation,False Belief - Location,Belief,ToMB1_EXPL_10,"Why is Ethan reaching for the book on the shelf? (thinks it's his, left it there, doesn't know)",1,,NA,1,0,
512yoC,Booklet1-055,E18,C1,1_Books,8,11,Explanation,Emotion,Emotion,ToMB1_EXPL_11,Why does Paul feel sad?  (Ethan taking his book),1,,NA,1,0,
512yoC,Booklet1-055,E18,C1,1_Books,8,12,2AFC,Moral Reasoning False Beliefs,Moral Reasoning,ToMB1_2AFC_12,Is Ethan being mean/naughty? (No),1,,NA,1,0,
512yoC,Booklet1-055,E18,C1,1_Books,8,13,2AFC,Moral Reasoning False Beliefs,Moral Reasoning,ToMB1_2AFC_13,Should Ethan get in trouble? (No),1,,NA,1,0,
512yoC,Booklet1-055,E18,C1,1_Books,9,14,2AFC,False Belief - Expectations,Belief,ToMB1_2AFC_14,What does W think is inside the book? (Mountains),NA,,NA,0,1,Not asked
512yoC,Booklet1-055,E18,C1,1_Books,9,15,Explanation,False Belief - Expectations,Belief,ToMB1_EXPL_15,Why does he think that? (Refers to past or expectations).,NA,,NA,0,1,Not asked
512yoC,Booklet1-055,E18,C1,1_Books,11,17,2AFC,Reference - Hard,Reference,ToMB1_2AFC_17,Which book does Daniel want? (Fruit),0,,NA,1,0,
512yoC,Booklet1-055,E18,C1,1_Books,11,18,Explanation,Reference - Hard,Reference,ToMB1_EXPL_18,How do you know that book? (Refers to orange section/liking that part/reading it before),0,,NA,1,0,
512yoC,Booklet1-055,E18,C1,1_Books,12,19,2AFC,Reference - Hard,Reference,ToMB1_2AFC_19,Which picture should C give? (Broom),0,,NA,1,0,
512yoC,Booklet1-055,E18,C1,1_Books,12,20,Explanation,Reference - Hard,Reference,ToMB1_EXPL_20,Why is the broom better? (mentions sailboat),0,,NA,1,1,
512yoC,Booklet1-055,E18,C1,2_Park,15,21,2AFC,Common Desires,Desires,ToMB2_2AFC_21,Which one will J choose? (Chooses same),1,,NA,1,0,
512yoC,Booklet1-055,E18,C1,2_Park,16,22,2AFC,Diverse Desires,Desires,ToMB2_2AFC_22,Which one will I choose? (Chooses opposite),1,,NA,1,0,
512yoC,Booklet1-055,E18,C1,2_Park,17,23,2AFC,False Belief - Location,Belief,ToMB2_2AFC_23,Where will J look first? (Bush),1,,NA,1,0,
512yoC,Booklet1-055,E18,C1,2_Park,17,24,Explanation,False Belief - Location,Belief,ToMB2_EXPL_24,Why behind bush? (Refers to peeking/seeing/thinking),1,,NA,1,0,
512yoC,Booklet1-055,E18,C1,2_Park,18,25,2AFC,False Belief - Location,Belief,ToMB2_2AFC_25,Which cookie will J take? (one on grass),1,,NA,1,0,
512yoC,Booklet1-055,E18,C1,2_Park,18,26,Explanation,False Belief - Location,Belief,ToMB2_EXPL_26,"Why that cookie? (thinks it's his, left it there, doesn't know)",NA,,NA,0,1,Not asked
512yoC,Booklet1-055,E18,C1,2_Park,18,27,Explanation,Emotion,Emotion,ToMB2_EXPL_27,Why is Isa crying? (J taking her cookie),1,"""she put her cookie on the grass""",NA,1,0,
512yoC,Booklet1-055,E18,C1,2_Park,18,28,2AFC,Moral Reasoning False Beliefs,Moral Reasoning,ToMB2_2AFC_28,Is J being mean/naughty? (No),1,,NA,1,0,
512yoC,Booklet1-055,E18,C1,2_Park,18,29,2AFC,Moral Reasoning False Beliefs,Moral Reasoning,ToMB2_2AFC_29,Should J get in trouble? (No),1,,NA,1,0,
512yoC,Booklet1-055,E18,C1,2_Park,19,30,2AFC,Emotion Reminder,Emotion,ToMB2_2AFC_30,How will Ivan feel? (Sad),1,,NA,1,0,
512yoC,Booklet1-055,E18,C1,2_Park,19,31,2AFC,Emotion Reminder,Emotion,ToMB2_2AFC_31,Will Ivan go near or far from puppy? (Far),1,,NA,1,0,
512yoC,Booklet1-055,E18,C1,2_Park,19,32,Explanation,Emotion Reminder,Emotion,ToMB2_EXPL_32,"Why far away? (think, remember, worry, doesn't want)",1,"""because last time he took his cookie""",NA,1,0,
512yoC,Booklet1-055,E18,C1,2_Park,20,33,2AFC,False Belief - Expectations,Belief,ToMB2_2AFC_33,What does Isa think is in bottle? (Milk),1,,NA,1,0,
512yoC,Booklet1-055,E18,C1,2_Park,20,34,2AFC,Emotion,Emotion,ToMB2_2AFC_34,"How will Isa feel? (Sad, or surprised)",1,,NA,1,0,
512yoC,Booklet1-055,E18,C1,2_Park,22,35,2AFC,Reference - Hard,Reference,ToMB2_2AFC_35,Where will I & Isa look? (Behind tree),0,,NA,1,0,
512yoC,Booklet1-055,E18,C1,2_Park,22,36,Explanation,Reference - Hard,Reference,ToMB2_EXPL_36,"Why behind tree? (Drawing looks like tree, thought)",0,,NA,1,0,
512yoC,Booklet1-055,E18,C1,2_Park,23,37,2AFC,Moral Reasoning False Beliefs,Moral Reasoning,ToMB2_2AFC_37,Is it fair that mother is mad with J? (No),1,,NA,1,0,
512yoC,Booklet1-055,E18,C1,2_Park,23,38,2AFC,Moral Reasoning False Beliefs,Moral Reasoning,ToMB2_2AFC_38,Is J mad at Isa? (No),0,,NA,1,0,
512yoC,Booklet1-055,E18,C1,2_Park,23,39,Explanation,Moral Reasoning False Beliefs,Moral Reasoning,ToMB2_EXPL_39,Why J not mad? (Doesn't know),NA,,NA,0,1,Not asked
512yoC,Booklet1-055,E18,C1,2_Park,23,40,2AFC,Moral Reasoning False Beliefs,Moral Reasoning,ToMB2_2AFC_40,Is mother mad at Isa? (No),1,,NA,1,0,
